graph1	graph2	results
sce04392.txt	sce00062.txt	0.5393388867378235
sce04392.txt	sce00563.txt	0.5333682894706726
sce04392.txt	sce00860.txt	0.5308347344398499
sce04392.txt	sce00513.txt	0.5282118320465088
sce04392.txt	sce00440.txt	0.5258874297142029
sce04392.txt	sce04070.txt	0.5233901143074036
sce04392.txt	sce00332.txt	0.5227375030517578
sce04392.txt	sce00310.txt	0.5224197506904602
sce04392.txt	sce00791.txt	0.5223379731178284
sce04392.txt	sce00630.txt	0.5201134085655212
sce04392.txt	sce00190.txt	0.5164080262184143
sce04392.txt	sce03018.txt	0.5163952112197876
sce04392.txt	sce00130.txt	0.5158199667930603
sce04392.txt	sce00600.txt	0.5156008005142212
sce04392.txt	sce00740.txt	0.515225887298584
sce04392.txt	sce00562.txt	0.514554500579834
sce04392.txt	sce00785.txt	0.5142411589622498
sce04392.txt	sce00565.txt	0.5137874484062195
sce04392.txt	sce00100.txt	0.5125461220741272
sce04392.txt	sce00360.txt	0.5119776129722595
sce04392.txt	sce00970.txt	0.5113155841827393
sce04392.txt	sce00280.txt	0.5112196803092957
sce04392.txt	sce00650.txt	0.510903537273407
sce04392.txt	sce00780.txt	0.5106680989265442
sce04392.txt	sce00790.txt	0.5099947452545166
sce04392.txt	sce00910.txt	0.5096116662025452
sce04392.txt	sce03250.txt	0.5078012347221375
sce04392.txt	sce00510.txt	0.5070377588272095
sce04392.txt	sce03015.txt	0.5064624547958374
sce04392.txt	sce00053.txt	0.5052079558372498
sce04392.txt	sce00520.txt	0.5033228397369385
sce04392.txt	sce00380.txt	0.49867790937423706
sce04392.txt	sce00020.txt	0.49766024947166443
sce04392.txt	sce00340.txt	0.49658820033073425
sce04392.txt	sce00640.txt	0.4959363043308258
sce04392.txt	sce00750.txt	0.4941953420639038
sce04392.txt	sce00220.txt	0.49282824993133545
sce04392.txt	sce00564.txt	0.492571085691452
sce04392.txt	sce00040.txt	0.4907620847225189
sce04392.txt	sce00052.txt	0.490233838558197
sce04392.txt	sce00400.txt	0.48989400267601013
sce04392.txt	sce00920.txt	0.4885549247264862
sce04392.txt	sce00770.txt	0.48667630553245544
sce04392.txt	sce04011.txt	0.4855746924877167
sce04392.txt	sce00071.txt	0.4829704761505127
sce04392.txt	sce00300.txt	0.482452929019928
sce04392.txt	sce00290.txt	0.4815886616706848
sce04392.txt	sce00330.txt	0.48007962107658386
sce04392.txt	sce00480.txt	0.47976958751678467
sce04392.txt	sce00760.txt	0.47792279720306396
sce04392.txt	sce00061.txt	0.47781580686569214
sce04392.txt	sce04111.txt	0.47699522972106934
sce04392.txt	sce00410.txt	0.476177841424942
sce04392.txt	sce00450.txt	0.47238966822624207
sce04392.txt	sce00030.txt	0.4702869951725006
sce04392.txt	sce00250.txt	0.4702288508415222
sce04392.txt	sce00900.txt	0.46934568881988525
sce04392.txt	sce00500.txt	0.4662875533103943
sce04392.txt	sce00051.txt	0.4647618234157562
sce04392.txt	sce00730.txt	0.4554971158504486
sce04392.txt	sce04113.txt	0.4489656984806061
sce04392.txt	sce00561.txt	0.44544360041618347
sce04392.txt	sce00670.txt	0.44081032276153564
sce04392.txt	sce00260.txt	0.4273642599582672
sce04392.txt	sce00680.txt	0.423843115568161
sce04392.txt	sce00240.txt	0.4221159815788269
sce04392.txt	sce00620.txt	0.3876277208328247
sce04392.txt	sce00010.txt	0.33214348554611206
sce04392.txt	sce00230.txt	0.3178302049636841
sce04392.txt	sce00270.txt	0.2560701370239258
sce04213.txt	sce03250.txt	0.5160338878631592
sce04213.txt	sce03018.txt	0.5059871673583984
sce04213.txt	sce00053.txt	0.5016663670539856
sce04213.txt	sce00440.txt	0.4979657828807831
sce04213.txt	sce00332.txt	0.4808353781700134
sce04213.txt	sce00785.txt	0.4676283001899719
sce04213.txt	sce00310.txt	0.46614307165145874
sce04213.txt	sce00600.txt	0.4559246003627777
sce04213.txt	sce00513.txt	0.45490315556526184
sce04213.txt	sce00563.txt	0.43658050894737244
sce04213.txt	sce00910.txt	0.4288593530654907
sce04213.txt	sce00970.txt	0.4203924238681793
sce04213.txt	sce00640.txt	0.4125717282295227
sce04213.txt	sce00780.txt	0.404807448387146
sce04213.txt	sce00340.txt	0.4037691652774811
sce04213.txt	sce00360.txt	0.39669570326805115
sce04213.txt	sce00791.txt	0.3880511522293091
sce04213.txt	sce00062.txt	0.38071584701538086
sce04213.txt	sce00130.txt	0.34754428267478943
sce04213.txt	sce00740.txt	0.3445640206336975
sce04213.txt	sce00450.txt	0.33136942982673645
sce04213.txt	sce00650.txt	0.33031323552131653
sce04213.txt	sce00040.txt	0.32181715965270996
sce04213.txt	sce00860.txt	0.3154595196247101
sce04213.txt	sce00300.txt	0.2927185297012329
sce04213.txt	sce00565.txt	0.29033559560775757
sce04213.txt	sce00380.txt	0.27478715777397156
sce04213.txt	sce00280.txt	0.2675805389881134
sce04213.txt	sce00190.txt	0.2656509280204773
sce04213.txt	sce00790.txt	0.255415141582489
sce04213.txt	sce00100.txt	0.2508930265903473
sce04213.txt	sce00520.txt	0.24983221292495728
sce04213.txt	sce00410.txt	0.24721312522888184
sce04213.txt	sce00480.txt	0.24098677933216095
sce04213.txt	sce00730.txt	0.24093547463417053
sce04213.txt	sce00330.txt	0.2298842817544937
sce04213.txt	sce00061.txt	0.2265443354845047
sce04213.txt	sce03015.txt	0.22254660725593567
sce04213.txt	sce00562.txt	0.21643905341625214
sce04213.txt	sce00020.txt	0.21246741712093353
sce04213.txt	sce00052.txt	0.2098187506198883
sce04213.txt	sce04070.txt	0.17855621874332428
sce04213.txt	sce00290.txt	0.17323626577854156
sce04213.txt	sce00750.txt	0.17070461809635162
