entry	Gene Ontology (cellular component)	Gene Ontology (biological process)	Gene Ontology (molecular function)
sce:YNL037C	6	3	4
sce:YHR096C	2	3	4
sce:YLR057W	3	4	2
sce:YMR300C	1	4	2
sce:YNR016C	4	5	8
sce:YIL004C	5	5	1
sce:YPL036W	3	3	4
sce:YGR170W	4	4	2
sce:YLR133W	1	3	3
sce:YDR533C	3	4	2
sce:YDR342C	3	4	5
sce:YOR020W-A	2	1	0
sce:YBR128C	5	6	0
sce:YBL099W	8	1	3
sce:YPL049C	3	5	1
sce:YJL168C	3	8	2
sce:YBL064C	2	2	1
sce:YAL041W	10	9	1
sce:YDR111C	2	2	3
sce:YOR388C	1	1	3
sce:YNL048W	1	3	2
sce:YMR164C	2	1	0
sce:YOR374W	2	4	2
sce:YNL172W	4	8	3
sce:YDR354W	3	1	1
sce:YGR188C	4	7	5
sce:YML013W	8	6	2
sce:YJR117W	4	6	2
sce:YNR052C	5	4	4
sce:YDL035C	1	8	2
sce:YJR090C	5	9	1
sce:YJL134W	2	3	2
sce:YLR180W	3	3	3
sce:YBL080C	2	2	2
sce:YDR146C	2	4	6
sce:YDR052C	5	15	3
sce:YJR158W	2	4	4
sce:YMR189W	2	3	3
sce:YMR183C	7	8	3
sce:YPR127W	2	1	2
sce:YNL167C	2	3	7
sce:YGR227W	3	2	2
sce:YIR032C	1	2	2
sce:YDR009W	4	3	2
sce:YAL016W	7	3	1
sce:YAR071W	3	1	1
sce:YDL090C	1	1	2
sce:YPR075C	5	5	0
sce:YHR152W	2	4	0
sce:YDL246C	0	2	3
sce:YPR160W	1	1	4
sce:YDR440W	3	14	4
sce:YGL190C	8	11	1
sce:YLR164W	3	2	3
sce:YOL143C	4	1	1
sce:YBL058W	3	10	2
sce:YHL003C	3	1	1
sce:YDR420W	4	6	1
sce:YCR105W	0	1	2
sce:YEL032W	10	9	7
sce:YHR184W	2	3	0
sce:YAL030W	10	13	4
sce:YDR294C	4	5	3
sce:YKL001C	1	7	2
sce:YBR035C	1	2	2
sce:YDR481C	1	2	3
sce:YLR420W	2	3	2
sce:YJL002C	2	2	0
sce:YDR480W	2	4	1
sce:YGR040W	4	8	5
sce:YKL101W	4	7	4
sce:YKL019W	3	3	3
sce:YKR014C	6	7	2
sce:YHR092C	2	2	5
sce:YML130C	2	1	3
sce:YNL038W	2	2	1
sce:YMR278W	2	4	2
sce:YER133W	12	32	3
sce:YLR088W	2	2	0
sce:YDL132W	4	16	3
sce:YBR045C	2	2	2
sce:YKL141W	3	5	4
sce:YIL164C	0	1	1
sce:YJR066W	8	20	5
sce:YHR018C	1	1	1
sce:YBL082C	2	2	1
sce:YPR139C	4	4	2
sce:YBR243C	2	3	3
sce:YBR229C	4	3	3
sce:YOR313C	1	1	0
sce:YLR058C	3	6	4
sce:YML004C	2	2	2
sce:YJR078W	1	2	4
sce:YPL175W	3	2	1
sce:YHR216W	2	2	5
sce:YKL178C	3	2	2
sce:YDR047W	3	2	1
sce:YBR265W	5	2	1
sce:YHR104W	3	5	3
sce:YPL172C	2	1	1
sce:YFR034C	2	4	3
sce:YPL120W	10	12	0
sce:YDR147W	1	3	3
sce:YGR098C	7	9	1
sce:YJR053W	5	5	2
sce:YER061C	1	1	1
sce:YDR523C	3	6	4
sce:YDR182W	2	4	2
sce:YPL206C	3	2	1
sce:YPR062W	2	4	4
sce:YNL119W	2	6	3
sce:YHR026W	4	4	2
sce:YFL059W	0	4	2
sce:YLR274W	10	8	5
sce:YOR184W	1	3	2
sce:YER111C	4	4	3
sce:YOL056W	1	1	1
sce:YIL160C	3	2	2
sce:YGR020C	5	4	1
sce:YBR006W	1	3	3
sce:YGR155W	3	5	3
sce:YPR183W	6	4	2
sce:YBR153W	0	1	2
sce:YJR065C	4	3	2
sce:YHR109W	1	3	2
sce:YJR013W	3	3	2
sce:YLR452C	1	4	1
sce:YMR041C	0	1	2
sce:YGR044C	2	6	3
sce:YKL148C	3	4	4
sce:YPL148C	1	2	2
sce:YAL040C	4	8	1
sce:YDL021W	1	1	1
sce:YDR379W	2	4	3
sce:YAL024C	3	7	1
sce:YBR136W	3	13	4
sce:YBR093C	3	3	3
sce:YKL104C	0	6	2
sce:YIL107C	2	2	2
sce:YJL060W	2	2	3
sce:YFR019W	4	3	4
sce:YGL040C	3	2	2
sce:YOR212W	7	8	6
sce:YDR217C	2	9	3
sce:YGL086W	4	7	1
sce:YMR099C	2	1	2
sce:YMR281W	3	1	1
sce:YPL262W	5	5	1
sce:YCL047C	2	4	3
sce:YJR109C	3	5	5
sce:YBL068W	2	5	4
sce:YDR399W	2	5	4
sce:YJR103W	3	4	3
sce:YLR351C	2	4	2
sce:YJL153C	1	2	1
sce:YJR073C	5	2	3
sce:YCR067C	3	4	2
sce:YNL219C	2	3	4
sce:YGL026C	2	1	1
sce:YKL215C	1	1	2
sce:YBL084C	3	6	0
sce:YNL329C	4	3	3
sce:YOL061W	2	5	4
sce:YGL008C	5	6	4
sce:YPL169C	4	4	8
sce:YNR027W	3	4	3
sce:YOR347C	2	3	6
sce:YPR140W	5	6	1
sce:YKL025C	3	5	5
sce:YDR345C	2	4	4
sce:YOL077W-A	4	3	0
sce:YGL022W	2	3	2
sce:YMR108W	2	3	4
sce:YFL025C	2	7	1
sce:YJR101W	3	1	3
sce:YBR126C	2	5	2
sce:YDR283C	5	14	12
sce:YBR135W	4	6	5
sce:YDL155W	3	7	1
sce:YOR074C	3	3	1
sce:YDR502C	2	3	3
sce:YDL171C	1	3	5
sce:YPL100W	6	8	3
sce:YDR036C	3	2	2
sce:YER163C	2	1	2
sce:YDR020C	2	3	2
sce:YER062C	2	3	3
sce:YNL104C	2	1	2
sce:YDR074W	2	5	2
sce:YGR036C	3	4	2
sce:YGL184C	3	3	4
sce:YMR101C	3	2	3
sce:YLL006W	6	9	1
sce:YOR208W	2	3	1
sce:YML085C	10	7	4
sce:YER055C	1	1	3
sce:YKR035W-A	4	6	0
sce:YBR248C	1	2	3
sce:YMR110C	7	5	4
sce:YPR167C	2	5	2
sce:YMR208W	3	4	3
sce:YGL224C	0	2	1
sce:YLL021W	8	13	1
sce:YDL159W	2	8	5
sce:YJL095W	3	8	5
sce:YOR185C	2	4	2
sce:YOR025W	3	5	4
sce:YHR137W	2	7	6
sce:YKL080W	4	4	2
sce:YGL196W	0	2	1
sce:YDR035W	3	3	1
sce:YLR293C	3	7	2
sce:YLR134W	3	6	6
sce:YDL134C	5	6	3
sce:YMR205C	4	8	8
sce:YOR231W	4	5	6
sce:YHL011C	2	6	4
sce:YHR124W	1	3	2
sce:YER183C	1	2	2
sce:YML070W	2	5	3
sce:YNL001W	2	10	2
sce:YIR038C	6	2	2
sce:YGR156W	3	5	1
sce:YIL159W	3	6	3
sce:YPR184W	2	2	3
sce:YDL106C	2	9	3
sce:YML056C	1	2	4
sce:YLR286C	6	4	3
sce:YCL005W-A	4	7	2
sce:YBL016W	6	10	6
sce:YGL065C	2	2	5
sce:YHR163W	3	2	1
sce:YKL062W	2	3	3
sce:YPR113W	6	1	2
sce:YER173W	2	5	3
sce:YHR106W	2	3	1
sce:YFR044C	2	2	5
sce:YBL015W	2	1	2
sce:YOR142W	3	3	3
sce:YDR191W	5	8	4
sce:YJL186W	1	3	1
sce:YKL196C	8	9	2
sce:YKL069W	3	1	2
sce:YGL115W	6	9	3
sce:YIL147C	2	3	6
sce:YOR303W	3	4	2
sce:YDL142C	2	7	2
sce:YML016C	2	2	3
sce:YJR121W	7	2	3
sce:YDR389W	2	7	1
sce:YLL001W	7	10	4
sce:YCR036W	2	1	3
sce:Q0085	4	1	1
sce:YKR069W	1	4	1
sce:YJL091C	4	2	1
sce:YLR089C	2	3	2
sce:YJL046W	2	1	3
sce:YOR288C	3	2	3
sce:YGR256W	2	2	2
sce:YDR096W	3	4	6
sce:YCR073W-A	2	3	1
sce:YPL258C	1	3	4
sce:YLL041C	3	6	7
sce:YLR370C	3	5	1
sce:YKL024C	2	5	5
sce:YPR040W	3	3	0
sce:YKL002W	3	7	0
sce:YKL085W	3	3	2
sce:YJR046W	4	4	1
sce:YBR038W	4	4	1
sce:YLR113W	2	10	6
sce:YMR028W	2	4	1
sce:YBR279W	3	20	3
sce:YIR019C	4	10	1
sce:YDR486C	4	3	0
sce:YBR111C	4	2	2
sce:YDR518W	2	2	4
sce:YOR373W	3	6	1
sce:YGL098W	4	3	1
sce:YDR321W	2	1	1
sce:YJR086W	7	3	1
sce:YLR181C	3	4	2
sce:YKL197C	4	3	3
sce:YBR249C	2	3	1
sce:YMR289W	1	3	1
sce:YOL064C	2	4	2
sce:YIL162W	5	4	3
sce:YOL096C	3	2	4
sce:YHR037W	3	2	1
sce:YPR049C	4	11	3
sce:YOR179C	2	3	0
sce:YFL017C	5	1	2
sce:YJL005W	4	4	3
sce:YNL256W	4	3	6
sce:YKR053C	2	2	2
sce:YPL187W	1	2	2
sce:YGL009C	3	1	3
sce:YPL089C	1	4	6
sce:YDR109C	1	2	1
sce:YDR323C	5	5	2
sce:YKL184W	1	3	1
