entry	Gene Ontology (cellular component)	Gene Ontology (biological process)	Gene Ontology (molecular function)
sce:YMR293C	2	3	2
sce:YMR013C	2	3	1
sce:YKR054C	6	7	4
sce:YMR169C	1	3	3
sce:YBR149W	1	1	4
sce:YDR487C	3	2	2
sce:YNR026C	3	3	2
sce:YHR118C	5	3	1
sce:YMR105C	2	10	2
sce:YBR015C	2	3	1
sce:YOR171C	11	4	4
sce:YMR322C	2	2	1
sce:YFR025C	1	1	1
sce:YMR020W	1	4	9
sce:YDL022W	5	6	3
sce:YJL200C	2	2	3
sce:YGL226C-A	2	1	0
sce:YOR040W	2	1	2
sce:YJL026W	3	2	5
sce:YBR117C	3	1	2
sce:Q0130	6	1	3
sce:YIR031C	4	4	1
sce:YJR137C	5	3	7
sce:YGR059W	8	2	4
sce:YLR147C	17	6	2
sce:YMR199W	4	5	1
sce:YOR103C	2	1	0
sce:YER015W	5	5	5
sce:YBL039C	3	5	3
sce:YDR050C	4	4	1
sce:YLR372W	2	9	4
sce:YLR258W	2	1	3
sce:YNR030W	2	3	2
sce:YGR007W	2	1	1
sce:YMR149W	1	1	0
sce:YOR250C	2	4	2
sce:YPL227C	1	1	1
sce:YMR055C	5	6	0
sce:YCL067C	1	2	4
sce:YCL067C	2	2	5
sce:YLR231C	2	5	3
sce:YGR014W	4	7	1
sce:YMR246W	5	4	2
sce:YHR215W	2	0	1
sce:YLR081W	2	3	3
sce:YLR006C	1	2	3
sce:YIL026C	7	6	1
sce:YOR332W	4	4	1
sce:YOL066C	1	3	6
sce:YKL132C	3	2	5
sce:YJL100W	5	3	3
sce:YBR019C	1	1	3
sce:YER014W	2	2	1
sce:YHR067W	1	2	2
sce:YJR025C	2	5	2
sce:YDR503C	2	1	2
sce:YLR056W	4	1	3
sce:YAL062W	3	1	1
sce:YJL068C	1	1	3
sce:YDR044W	3	2	2
sce:YBR002C	4	3	3
sce:YDL015C	3	2	2
sce:YPL078C	5	2	1
sce:YOR360C	2	1	2
sce:YOR067C	2	2	1
sce:YDR302W	2	1	1
sce:YKR080W	2	4	2
sce:YDL024C	2	2	1
sce:YIL053W	2	2	3
sce:YNL241C	2	4	2
sce:YHL012W	1	2	1
sce:YDR287W	0	5	4
sce:YER075C	2	3	1
sce:YML027W	3	3	4
sce:YDR343C	4	3	4
sce:YJL219W	3	2	5
sce:YOL058W	2	3	2
sce:YGR102C	3	2	2
sce:YGL094C	3	3	3
sce:YGR171C	2	1	2
sce:YHR119W	3	21	3
sce:YJR130C	2	3	3
sce:YHR033W	2	2	3
sce:YER170W	4	7	4
sce:YCR024C	2	2	3
sce:YJR075W	1	3	1
sce:YLR240W	13	11	3
sce:YDL131W	2	1	2
sce:YGL044C	2	3	2
sce:YNL006W	8	9	0
sce:YOL011W	5	3	3
sce:YJR131W	3	5	2
sce:YNL130C	4	1	2
sce:YPL273W	2	4	3
sce:YPL096C-A	3	3	1
sce:YGL201C	10	7	5
sce:YLR191W	2	1	2
sce:YIL094C	1	4	4
sce:YFL029C	2	5	4
sce:YPL015C	2	2	5
sce:YDR439W	3	7	0
sce:YDR178W	3	4	3
sce:YIL155C	5	4	2
sce:YDR099W	3	12	2
sce:YBL023C	9	8	6
sce:YLR102C	2	7	0
sce:YIL106W	9	8	3
sce:YPL232W	6	11	6
sce:YNL283C	6	3	1
sce:YCR073C	1	2	4
sce:YLL062C	1	3	3
sce:YGL142C	2	1	1
sce:YMR016C	2	2	2
sce:YEL051W	4	4	1
sce:YER043C	2	5	1
sce:YJL088W	3	3	2
sce:YMR061W	4	4	1
sce:YPL031C	5	26	4
sce:YML008C	4	2	2
sce:YGR208W	2	2	2
sce:YGR255C	3	1	7
sce:YKL166C	6	6	5
sce:YER020W	4	9	5
sce:YDL188C	4	7	3
sce:YHR174W	6	2	3
sce:YKL029C	2	3	5
sce:YER005W	3	3	5
sce:YFL026W	2	3	3
sce:YML082W	2	3	4
sce:YOR081C	1	3	2
sce:YGL253W	4	13	6
sce:YHR166C	2	7	1
sce:YGR218W	5	6	8
sce:YOL113W	3	7	4
sce:YDR538W	1	3	3
sce:YPL153C	3	10	7
sce:YGR180C	3	2	3
sce:YGR225W	1	14	2
sce:YLR146C	2	3	2
sce:YBR170C	11	16	2
sce:YJL074C	2	8	6
sce:YOL126C	3	4	1
sce:YHR190W	5	3	2
sce:YBR110W	2	3	3
sce:YJL132W	4	1	1
sce:YPR073C	2	1	2
sce:YNR058W	2	1	3
sce:YPR162C	5	3	1
sce:YEL046C	1	2	2
sce:YHR063C	2	1	2
